********* Instance Sheet4 *********
Number of jobs: 40
Min processing time: 1
Max processing time: 100

___________________________________
| # | Processing time| Release time|
|==================================|
| 1 | 22             | 17          |
| 2 | 53             | 193         |
| 3 | 71             | 212         |
| 4 | 92             | 164         |
| 5 | 68             | 25          |
| 6 | 48             | 0           |
| 7 | 93             | 507         |
| 8 | 1              | 73          |
| 9 | 99             | 7           |
| 10| 63             | 25          |
| 11| 6              | 234         |
| 12| 51             | 350         |
| 13| 50             | 0           |
| 14| 24             | 0           |
| 15| 63             | 256         |
| 16| 57             | 140         |
| 17| 15             | 446         |
| 18| 62             | 258         |
| 19| 91             | 320         |
| 20| 69             | 37          |
| 21| 51             | 294         |
| 22| 74             | 174         |
| 23| 2              | 213         |
| 24| 63             | 0           |
| 25| 91             | 474         |
| 26| 95             | 85          |
| 27| 85             | 259         |
| 28| 15             | 494         |
| 29| 55             | 20          |
| 30| 48             | 41          |
| 31| 80             | 110         |
| 32| 47             | 197         |
| 33| 38             | 44          |
| 34| 32             | 492         |
| 35| 11             | 0           |
| 36| 75             | 485         |
| 37| 76             | 33          |
| 38| 45             | 74          |
| 39| 71             | 366         |
| 40| 2              | 116         |
************************************



