********* Instance Sheet3 *********
Number of jobs: 30
Min processing time: 1
Max processing time: 50

___________________________________
| # | Processing time| Release time|
|==================================|
| 1 | 49             | 0           |
| 2 | 36             | 115         |
| 3 | 30             | 137         |
| 4 | 9              | 50          |
| 5 | 19             | 151         |
| 6 | 32             | 0           |
| 7 | 13             | 0           |
| 8 | 32             | 156         |
| 9 | 31             | 7           |
| 10| 34             | 143         |
| 11| 11             | 104         |
| 12| 26             | 0           |
| 13| 36             | 0           |
| 14| 47             | 18          |
| 15| 40             | 0           |
| 16| 20             | 7           |
| 17| 20             | 159         |
| 18| 47             | 174         |
| 19| 19             | 0           |
| 20| 48             | 132         |
| 21| 6              | 63          |
| 22| 36             | 0           |
| 23| 1              | 26          |
| 24| 35             | 80          |
| 25| 47             | 0           |
| 26| 6              | 113         |
| 27| 40             | 0           |
| 28| 3              | 71          |
| 29| 44             | 7           |
| 30| 23             | 155         |
************************************



