********* Instance Sheet5 *********
Number of jobs: 40
Min processing time: 1
Max processing time: 50

___________________________________
| # | Processing time| Release time|
|==================================|
| 1 | 33             | 111         |
| 2 | 41             | 111         |
| 3 | 4              | 0           |
| 4 | 22             | 89          |
| 5 | 34             | 10          |
| 6 | 26             | 83          |
| 7 | 46             | 0           |
| 8 | 34             | 77          |
| 9 | 29             | 134         |
| 10| 33             | 59          |
| 11| 10             | 0           |
| 12| 8              | 146         |
| 13| 3              | 33          |
| 14| 20             | 70          |
| 15| 32             | 0           |
| 16| 36             | 98          |
| 17| 42             | 153         |
| 18| 37             | 165         |
| 19| 37             | 46          |
| 20| 23             | 0           |
| 21| 34             | 0           |
| 22| 37             | 59          |
| 23| 20             | 200         |
| 24| 26             | 102         |
| 25| 13             | 0           |
| 26| 16             | 52          |
| 27| 4              | 175         |
| 28| 42             | 124         |
| 29| 28             | 0           |
| 30| 4              | 0           |
| 31| 19             | 13          |
| 32| 30             | 0           |
| 33| 31             | 64          |
| 34| 45             | 0           |
| 35| 47             | 0           |
| 36| 39             | 137         |
| 37| 14             | 188         |
| 38| 17             | 27          |
| 39| 7              | 72          |
| 40| 40             | 8           |
************************************



